Reported Date,Confirmed Negative,Presumptive Negative,Presumptive Positive,Confirmed Positive,Resolved,Deaths,Total Cases,Total patients approved for testing as of Reporting Date,Total tests completed in the last day,Percent positive tests in last day,Under Investigation,Number of patients hospitalized with COVID-19,Number of patients in ICU due to COVID-19,"Number of patients in ICU, testing positive for COVID-19","Number of patients in ICU, testing negative for COVID-19",Number of patients in ICU on a ventilator due to COVID-19,Num. of patients in ICU on a ventilator testing positive,Num. of patients in ICU on a ventilator testing negative,Total Positive LTC Resident Cases,Total Positive LTC HCW Cases,Total LTC Resident Deaths,Total LTC HCW Deaths,Total_Lineage_B.1.1.7_Alpha,Total_Lineage_B.1.351_Beta,Total_Lineage_P.1_Gamma,Total_Lineage_B.1.617.2_Delta,deaths_data_cleaning,newly_reported_deaths
2020-02-06,,,1,,,,,,,,9,,,,,,,,,,,,,,,,,
2020-02-07,,,2,,,,,,,,19,,,,,,,,,,,,,,,,,
2020-02-08,,,1,1,,,1,,,,11,,,,,,,,,,,,,,,,,
2020-02-09,,,0,2,,,2,,,,27,,,,,,,,,,,,,,,,,
2020-02-10,,,0,2,,,2,,,,17,,,,,,,,,,,,,,,,,
2020-02-11,,,0,3,,,3,,,,29,,,,,,,,,,,,,,,,,
2020-02-12,90,12,0,3,,,3,139,,,34,,,,,,,,,,,,,,,,,
2020-02-13,96,8,0,3,,,3,150,,,43,,,,,,,,,,,,,,,,,
2020-02-14,104,0,0,3,,,3,169,,,62,,,,,,,,,,,,,,,,,
2020-02-15,130,25,0,3,,,3,197,,,39,,,,,,,,,,,,,,,,,
2020-02-16,167,81,0,3,,,3,259,,,8,,,,,,,,,,,,,,,,,
2020-02-17,184,79,0,3,,,3,285,,,19,,,,,,,,,,,,,,,,,
2020-02-18,257,44,0,2,1,,3,313,,,9,,,,,,,,,,,,,,,,,
2020-02-19,306,16,0,2,1,,3,340,,,15,,,,,,,,,,,,,,,,,
2020-02-20,353,0,0,2,1,,3,364,,,8,,,,,,,,,,,,,,,,,
2020-02-21,399,0,0,2,1,,3,402,,,0,,,,,,,,,,,,,,,,,
2020-02-22,418,0,0,2,1,,3,421,,,0,,,,,,,,,,,,,,,,,
2020-02-23,436,0,0,2,1,,3,456,,,17,,,,,,,,,,,,,,,,,
2020-02-24,462,,0,1,2,,3,479,,,14,,,,,,,,,,,,,,,,,
